ID,z,logMstar,logSFR,OH,OH_err
3942,2.098,9.13,0.42,8.27,0.02
2387,1.836,9.76,2.49,8.28,0.1
5014,1.837,9.15,0.6,8.19,0.01
4502,1.854,9.29,0.75,8.31,0.03
552,1.924,9.53,2.12,8.35,0.03
4195,2.178,9.55,0.81,8.4,0.05
4327,2.224,9.36,1.62,8.35,0.01
3408,1.861,9.02,0.28,8.46,0.02
414,2.093,8.65,1.09,7.97,0.01
4471,2.096,9.11,0.78,7.67,0.01
329,2.106,8.13,0.83,7.21,0.02
1084,1.764,9.61,2.15,8.55,0.05
3115,2.492,8.84,1.13,7.87,0.06
1374,3.713,9.9,0.67,8.32,0.26
3887,3.796,8.69,0.75,7.84,0.17
3926,4.658,8.6,0.81,7.75,0.23
