z,Mstar,12+log(O/H),,,
0.00,1.4562501E+11,8.867579,,,
0.05,1.4562500E+11,8.7710905,,,
0.10,1.4625001E+11,8.758997,,,
0.20,1.4546875E+11,8.782174,,,
0.30,1.4484375E+11,8.809989,,,
0.40,1.4421875E+11,8.83127,,,
0.50,1.4421875E+11,8.842128,,,
1.00,8.6249996E+10,8.569349,,,
1.25,8.1250000E+10,8.592713,,,
1.50,7.9843754E+10,8.533283,,,
1.75,7.9140630E+10,8.494612,,,
2.00,7.8749999E+10,8.468656,,,
2.25,7.9140630E+10,8.432718,,,
2.50,7.9375000E+10,8.52779,,,
3.00,5.9843752E+10,8.875375,,,
3.50,4.1562501E+10,8.626293,,,
4.00,2.7343749E+10,8.733748,,,
4.50,1.0859375E+10,8.385514,,,
5.00,5.6347658E+09,8.390177,,,
5.50,5.7495117E+08,7.798944,,,
6.00,3.8635254E+08,7.848632,,,
6.50,6.0653688E+07,7.423152,,,
7.00,2.8038024E+07,7.335187,,,
7.50,1.7261506E+07,7.2673416,,,
8.00,1.0547638E+07,7.209849,,,
9.00,2.2578240E+06,6.9620953,,,
10.00,7.9870225E+05,6.594001,,,
12.00,1.3366342E+05,6.303554,,,
