Name,z,Mstar,Mstar_err_plus,Mstar_err_minus,SFR,SFR_err_plus,SFR_err_minus,OH,OH_err_plus,OH_err_minus,Teflag
DC-417567,5.666,10,0.3,0.3,72,42,27,7.96,0.28,0.14,1
DC-494763,5.233,9.5,0.4,0.4,28,36,16,8.29,0.02,0.02,0
DC-519281,5.575,9.8,0.4,0.4,32,35,17,7.99,0.08,0.08,0
DC-536534,5.689,10.4,0.3,0.3,62,64,31,8.1,0.04,0.05,0
DC-630594,4.44,9.7,0.3,0.3,37,39,19,7.99,0.29,0.19,1
DC-683613,5.541,10.2,0.3,0.3,68,67,34,8.49,0.03,0.05,0
DC-709575,4.412,9.5,0.4,0.4,28,39,16,8.01,0.34,0.2,1
DC-742174,5.636,9.5,0.4,0.4,15,16,8,7.84,0.05,0.05,0
DC-842313,4.552,10.6,0.5,0.5,204,918,167,8.49,0.37,0.27,1
DC-848185,5.294,10.3,0.3,0.3,178,290,110,8.06,0.22,0.22,1
DC-873321,5.154,10,0.3,0.3,78,64,35,8.11,0.06,0.07,0
DC-873756,4.545,10.5,0.1,0.1,115,76,46,8.68,0.58,0.88,0
VC-5100541407,4.563,10.1,0.3,0.3,42,50,23,8.21,0.24,0.4,0
VC-5100822662,4.52,10.2,0.3,0.3,78,48,30,8.33,0.04,0.04,0
VC-5100994794,4.58,9.6,0.3,0.3,32,51,20,8.41,0.04,0.05,0
VC-5101218326,4.573,10.9,0.3,0.3,562,534,274,8.36,0.34,0.3,0
VC-5101244930,4.581,9.7,0.3,0.3,28,20,12,8.24,0.1,0.13,0
VC-5110377875,4.55,10.2,0.2,0.2,99,75,43,8.41,0.08,0.09,0
