ID,z,N2,logMstar,SFR
Q1623-BX599,2.3312,0.19,10.75281643,34
Q2343-BX389,2.1724,0.21,10.61489722,25
Q2343-BX513,2.1082,0.22,10.43136376,10
Q2343-BX610,2.2107,0.4,11,60
Q2346-BX482,2.2571,0.14,10.26481782,80
Deep3a-6004,2.3871,0.48,11.49968708,214
Deep3a-6397,1.5133,0.44,11.07918125,563
Deep3a-15504,2.383,0.35,11.0374265,150
K20-ID7,2.224,0.27,10.5965971,112
SA12-6339,2.2971,0.18,10.40993312,620
ZC400528,2.3873,0.69,11.04139269,148
ZC400569,2.2405,0.41,11.20682588,241
ZC400569N,2.2432,0.45,11.11058971,157
ZC403741,1.4457,0.46,10.64836001,113
ZC404221,2.2199,0.26,10.19589965,61
ZC405226,2.287,0.15,9.968482949,117
ZC406690,2.195,0.12,10.61700034,200
ZC407302,2.1819,0.25,10.38738983,340
ZC407376,2.1729,0.25,10.40312052,89
ZC407376S,2.173,0.23,10.1430148,67
ZC407376N,2.1728,0.26,10.05690485,22
ZC409985,2.4569,0.18,10.20682588,51
ZC412369,2.0281,0.21,10.33645973,94
ZC415876,2.4354,0.15,9.963787827,94
