ID,RA,DEJ2000,Mass,z,SFR,NH,NH_err,OH,OH_err,,
6,149.92027,2.283297,1.13E+09,0.853915,8.471376,0.073351,0.018495,8.255161,0.073284,,
13,150.14436,2.241574,4.14E+09,0.845449,7.720948,0.183569,0.035993,8.481317,0.049636,,
14,150.19725,2.286323,7.40E+09,0.844147,7.968377,0.140848,0.030506,8.416766,0.060639,,
17,150.22769,2.161029,2.56E+09,0.837722,7.580946,0.111121,0.020816,8.356001,0.047809,,
22,150.26587,2.336187,5.72E+09,0.854378,6.691326,0.108487,0.023664,8.352832,0.059459,,
24,150.27321,2.273189,2.59E+10,0.850077,14.769753,0.420695,0.022189,8.685545,0.013222,,
26,150.28637,2.175375,1.31E+09,0.837025,6.58766,0.233089,0.052545,8.539817,0.060361,,
30,150.3014,1.904334,4.98E+09,0.835105,5.323626,0.262165,0.020544,8.569387,0.018758,,
32,150.30703,2.048213,1.07E+10,0.838363,3.756916,0.366295,0.065453,8.656188,0.043848,,
34,150.31317,1.915621,4.89E+09,0.833804,5.862547,0.398224,0.019957,8.671581,0.012682,,
35,150.32364,2.044072,1.13E+10,0.842692,9.248309,0.078489,0.027529,8.266534,0.108128,,
45,150.36004,1.937142,1.00E+10,0.83488,21.200686,0.142883,0.014904,8.417463,0.026584,,
48,150.37474,1.919405,4.38E+09,0.837241,4.140385,0.002799,0.045147,8.046515,0.273549,,
50,150.39017,1.914446,5.26E+09,0.843359,40.219852,0.009885,0.008641,7.798062,0.219611,,
51,150.40132,1.934495,1.71E+10,0.835544,7.325681,0.513732,0.016013,8.734845,0.007969,,
56,149.82975,1.994837,1.62E+09,0.847649,10.866064,0.063588,0.014738,8.219437,0.063368,,
59,149.84224,2.267644,8.73E+09,0.850111,12.592587,0.378702,0.023512,8.659246,0.015436,,
61,149.86917,1.972209,2.23E+09,0.837832,12.728601,0.017512,0.032266,8.010044,0.262053,,
63,149.88309,2.29249,3.67E+09,0.854809,8.757792,0.066517,0.034825,8.234106,0.170621,,
64,149.88943,2.252155,5.02E+09,0.839504,9.358646,0.309231,0.040332,8.607749,0.032583,,
66,150.30495,1.876348,2.25E+09,0.906428,3.26673,0.219641,0.025635,8.525824,0.030772,,
72,150.40686,1.952865,6.81E+09,0.868009,10.217667,0.220201,0.009438,8.525539,0.010822,,
75,150.34805,1.941696,6.75E+09,0.923379,9.797763,0.318624,0.031077,8.619073,0.024515,,
76,150.33095,1.879751,2.76E+09,0.838631,35.734406,0.03381,0.004675,8.059277,0.035193,,
78,150.30341,1.911286,2.17E+10,0.970004,15.216218,0.358328,0.014453,8.646584,0.009986,,
80,150.28482,1.9034,4.34E+09,0.880163,6.124621,0.155549,0.018393,8.438946,0.029578,,
81,150.28094,1.94412,1.48E+10,0.937734,17.422806,0.173718,0.01448,8.466861,0.020075,,
83,150.27069,1.930088,2.19E+09,0.833064,5.855901,0.072906,0.02074,8.250727,0.09329,,
84,150.26435,1.90013,9.75E+09,0.914106,18.650307,0.208285,0.009709,8.51199,0.011724,,
90,150.22238,1.878001,1.89E+10,0.840891,40.958683,0.21267,0.005317,8.517032,0.005947,,
101,150.35927,2.096201,4.46E+09,0.812051,10.872385,0.173888,0.026591,8.464074,0.039217,,
103,150.34424,1.96613,3.44E+09,0.838742,9.653196,0.17605,0.019028,8.469411,0.027717,,
104,150.34189,1.983266,1.55E+10,0.970478,36.401878,0.240563,0.008337,8.54734,0.008501,,
116,149.91111,2.097864,1.44E+10,0.884677,10.061852,0.526107,0.037674,8.739751,0.017824,,
117,149.90403,2.009161,6.15E+09,0.848693,12.522635,0.097834,0.017817,8.323609,0.046589,,
129,150.3284,2.176574,7.89E+09,0.849366,15.661805,0.176569,0.013783,8.471773,0.02036,,
133,150.31063,2.134291,1.63E+10,0.835022,10.369143,0.339027,0.016343,8.632365,0.012292,,
134,150.30968,2.193694,5.21E+09,0.851508,9.15585,0.081954,0.023482,8.277367,0.083513,,
136,150.2844,2.129633,9.57E+09,0.83793,6.405235,0.431277,0.037579,8.692236,0.02231,,
139,150.26761,2.178875,5.41E+09,0.929041,13.705878,0.22601,0.014392,8.532479,0.015914,,
144,150.22596,2.151669,9.48E+09,0.917786,19.878239,0.195303,0.008302,8.49552,0.010744,,
147,150.21367,2.186734,5.16E+09,0.837323,30.042286,0.10809,0.009483,8.348827,0.021589,,
153,150.1725,2.233619,1.81E+10,0.925154,8.365369,0.639414,0.026945,8.789027,0.010295,,
155,150.15234,2.21932,2.09E+10,0.92516,12.848326,0.457296,0.015171,8.706611,0.008313,,
156,150.15174,2.188685,2.40E+10,0.926978,28.031731,0.230066,0.006379,8.535853,0.006913,,
158,150.14251,2.208278,5.16E+09,0.846588,13.228522,0.210989,0.010456,8.514862,0.012391,,
159,150.13574,2.199431,1.66E+10,0.926691,9.341848,0.361961,0.019884,8.648935,0.013643,,
160,150.12229,2.243516,1.36E+10,0.803369,5.550819,0.514217,0.034466,8.734781,0.016505,,
162,150.0742,2.216964,1.31E+10,0.928241,8.066256,0.370107,0.025074,8.654716,0.017045,,
163,149.91691,2.252199,2.94E+09,0.855152,4.614719,0.255296,0.032264,8.562657,0.030586,,
170,150.27169,2.327293,6.93E+09,0.981557,14.69395,0.116779,0.014297,8.367662,0.030242,,
171,150.23446,2.311394,1.52E+10,0.91287,14.023154,0.220607,0.018337,8.526647,0.020846,,
181,53.034232,-27.798708,1.56E+10,0.841634,6.073988,0.021867,0.03605,8.07056,0.250281,,
182,53.058636,-27.79753,4.14E+09,0.998425,2.05381,5.788377,14.825298,9.520998,0.247364,,
186,53.176012,-27.796145,3.88E+10,0.996927,15.052476,0.199635,0.015449,8.501078,0.019299,,
188,53.090587,-27.790217,1.26E+10,0.997853,9.010407,0.250053,0.018872,8.556239,0.018535,,
190,53.1095,-27.788256,1.13E+10,0.994775,10.853564,0.247864,0.025529,8.553742,0.025904,,
192,53.048183,-27.783092,1.36E+10,0.814052,5.541494,0.417506,0.040143,8.683913,0.023983,,
193,53.040565,-27.780318,1.18E+10,0.96714,5.044891,0.393387,0.056837,8.671387,0.036502,,
198,53.151317,-27.76669,8.81E+09,0.893829,3.236534,0.382652,0.039632,8.661958,0.025038,,
207,53.028449,-27.763928,1.40E+10,0.845105,14.831153,0.2834,0.018978,8.587642,0.017227,,
209,53.063979,-27.751922,7.75E+09,0.860699,5.813215,0.144594,0.029181,8.421823,0.051323,,
210,53.068737,-27.746926,2.92E+10,0.975108,17.759787,0.284837,0.019147,8.589292,0.016782,,
214,53.050186,-27.740157,1.73E+09,0.839735,1.000998,0.322881,0.105304,8.619199,0.096907,,
218,53.021379,-27.730836,4.89E+09,0.805583,8.680037,0.253004,0.024225,8.560262,0.024069,,
219,53.061113,-27.726907,8.81E+09,0.978956,8.846344,0.320316,0.025187,8.618109,0.019859,,
231,53.030717,-27.694911,2.30E+09,0.861796,6.706135,0.168827,0.020338,8.460667,0.03093,,
232,53.202007,-27.90444,3.11E+10,0.839076,7.89396,0.350717,0.018742,8.641417,0.013343,,
239,53.071754,-27.902452,2.21E+10,0.960907,8.922523,0.22075,0.053855,8.528533,0.066877,,
243,53.131804,-27.893583,3.03E+09,0.986005,4.102712,0.056322,0.05198,8.209022,0.23103,,
244,53.280661,-27.894536,2.43E+10,0.804665,5.018022,0.25719,0.031341,8.563211,0.030528,,
256,53.229492,-27.87999,9.14E+09,0.847671,2.553368,0.542022,0.109067,8.748008,0.054076,,
265,53.121812,-27.862518,7.26E+09,0.962754,11.138489,0.161601,0.03106,8.446017,0.05175,,
273,53.104962,-27.84996,5.98E+09,0.840728,22.392618,1.230507,0.058651,8.95177,0.012046,,
274,53.25397,-27.848243,2.34E+10,0.837644,6.201741,0.602119,0.024147,8.774271,0.010106,,
275,53.240124,-27.844937,8.73E+09,0.964274,11.646244,0.318135,0.015087,8.617062,0.012111,,
279,53.239762,-27.830157,1.49E+10,0.977332,40.299519,0.274123,0.00936,8.579606,0.008679,,
280,53.191725,-27.753559,4.30E+09,0.837849,5.345197,0.084206,0.016777,8.291095,0.048892,,
283,53.115967,-27.950188,3.54E+09,0.80549,2.705137,0.015181,0.1078,8.266784,0.269381,,
284,53.063313,-27.706902,1.40E+10,0.844438,2.585398,0.194901,0.036102,8.490862,0.049534,,
286,53.191708,-27.676604,3.26E+09,0.976906,9.630795,0.282197,0.026277,8.586427,0.023658,,
293,53.008675,-27.630831,1.65E+09,0.804336,5.307692,0.076689,0.034065,8.263551,0.140689,,
311,52.977104,-27.869745,7.75E+09,0.863712,4.330819,0.251155,0.049398,8.560207,0.050222,,
312,53.019642,-27.869136,7.89E+09,0.834729,12.004214,0.386241,0.039778,8.665727,0.024672,,
318,53.261365,-27.835241,2.56E+10,0.837462,8.532702,0.358709,0.015273,8.646059,0.010466,,
322,333.51363,0.935492,2.13E+10,0.811226,13.771855,0.389191,0.011552,8.666502,0.007199,,
323,335.1313,1.146348,1.27E+10,0.807194,4.913834,0.267231,0.011433,8.574029,0.010552,,
324,333.55331,0.899878,2.30E+10,0.806316,2.883272,0.422126,0.01407,8.6869,0.008453,,
325,335.13126,1.135602,2.13E+10,0.809225,4.996111,0.499198,0.016829,8.728109,0.008463,,
326,332.99429,1.368574,1.71E+10,0.819677,9.030378,0.526571,0.019557,8.740973,0.00921,,
328,335.12713,1.127684,1.04E+10,0.807887,3.918056,0.283441,0.01471,8.588103,0.012442,,
330,333.51863,0.957464,7.75E+09,0.80472,6.387303,0.251829,0.013604,8.558413,0.013098,,
331,332.88903,1.232481,1.08E+10,0.821987,19.387028,0.237656,0.020945,8.544331,0.021701,,
332,335.11633,1.094168,3.92E+09,0.807658,6.947171,0.09858,0.011892,8.327898,0.030533,,
334,333.51922,0.945514,1.22E+10,0.813597,8.651536,0.269363,0.01197,8.575583,0.010903,,
335,334.70839,0.943408,8.97E+09,0.816637,5.682048,0.382956,0.022176,8.663637,0.014432,,
340,334.70462,1.005819,4.84E+09,0.813517,5.598529,0.242418,0.022496,8.55068,0.023094,,
346,334.95741,1.134019,1.95E+09,0.816892,7.439753,0.020898,0.01807,7.961353,0.228998,,
356,334.95313,1.130975,4.14E+10,0.816413,8.453109,0.440632,0.017648,8.697157,0.010176,,
357,335.09956,1.069603,2.49E+10,0.771997,12.042668,0.341819,0.008933,8.63405,0.006499,,
358,333.03586,1.417222,1.44E+10,0.815392,10.767673,0.345483,0.010356,8.637093,0.007555,,
363,334.96529,0.350249,1.36E+09,0.815117,3.559597,0.117861,0.029258,8.371798,0.066528,,
364,334.8627,0.395123,7.19E+09,0.808737,2.845086,0.136481,0.028014,8.405531,0.05352,,
367,334.83893,0.61186,1.03E+10,0.761876,3.357827,0.326477,0.045072,8.623814,0.035154,,
374,334.92257,0.657046,2.17E+10,0.803154,17.688704,0.334213,0.013463,8.628897,0.010019,,
375,334.86527,0.67064,5.46E+09,0.772521,8.226594,0.119216,0.014765,8.372049,0.030216,,
377,334.9134,0.68911,1.82E+10,0.813093,6.599304,0.291547,0.028783,8.594273,0.025144,,
378,334.84664,0.689954,1.74E+10,0.813035,4.380584,0.383839,0.024016,8.663279,0.015537,,
379,334.85286,0.690581,4.38E+09,0.811832,4.705218,0.340389,0.032472,8.631912,0.024809,,
385,334.95274,0.357901,1.07E+10,0.809068,3.073662,0.333586,0.024004,8.629684,0.017967,,
389,334.67752,0.959138,1.79E+10,0.836124,10.054467,0.328554,0.023412,8.623802,0.018422,,
