ID,RAJ2000,DEJ2000,z,logMstar,logMstar_err_minus,logMstar_err_plus,OH,OH_err_minus,OH_err_plus
1384,189.1904791,62.1317373,1.4333,10.18,0.01,0.04,8.43,0.02,0.01
3575,189.1384405,62.15273976,1.5264,9.11,0.01,0.02,8.28,0.04,0.03
4551,189.1490779,62.16037039,1.3873,9.88,0.2,0.02,8.39,0.07,0.07
7472,189.3229581,62.1790002,1.336,9.51,0.02,0.06,8.39,0.03,0.04
7558,189.2496747,62.17957649,1.5273,9.25,0.01,0.11,8.34,0.04,0.06
10517,189.1335479,62.19444631,1.5326,9.94,0.01,0.06,8.33,0.07,0.04
16083,189.2592608,62.22122619,1.3314,9.57,0.01,0.01,8.37,0.14,0.16
17579,189.1965522,62.22831334,1.3135,9.83,0.01,0.11,8.5,0.1,0.08
17927,189.1031137,62.23016703,1.3509,9.07,0.01,0.09,8.33,0.03,0.09
18885,189.3219196,62.23475154,1.5162,9.94,0.15,0.01,8.46,0.02,0.03
21956,189.1059379,62.25039033,1.3599,8.86,0.01,0.01,7.84,0.23,0.2
25616,189.2318211,62.26722935,1.3622,9.45,0.01,0.01,8.4,0.07,0.07
33135,189.3326589,62.31019864,1.5227,9.26,0.02,0.02,8.51,0.03,0.03
34193,189.2173433,62.31848617,1.3622,9.83,0.01,0.01,8.49,0.07,0.09
36765,189.233698,62.34294471,1.3598,9.39,0.01,0.01,8.34,0.04,0.05
37750,189.3206497,62.36202928,1.225,8.17,0.01,0.02,8.26,0.13,0.12
37893,189.3144605,62.36748485,1.3619,9.71,0.02,0.05,8.38,0.05,0.05
22793,53.1416157,-27.8040808,1.3829,9.74,0.05,0.03,8.56,0.1,0.06
24803,53.1613296,-27.7957938,1.4909,9.5,0.01,0.15,8.34,0.06,0.06
47348,53.25123978,-27.68836021,1.4257,9.38,0.06,0.07,7.99,0.02,0.03
48918,53.24490738,-27.67875671,1.5422,9.88,0.04,0.02,8.33,0.03,0.03
84,1.391502,-50.199535,1.3622,9.43,0.23,0.2,8.27,0.19,0.15
52,144.611694,7.18567,1.3017,9.47,0.01,0.01,8.57,0.04,0.05
39,156.803589,18.577957,1.3902,10.01,0.02,0.02,8.47,0.06,0.06
124,132.602249,44.802414,1.3913,8.48,0.02,0.01,8.12,0.12,0.11
81,207.146698,26.545837,1.4161,9.58,0.25,0.13,8.35,0.06,0.06
103,217.202087,52.652988,1.4093,9.4,0.45,0.15,8.31,0.11,0.1
146,82.509766,-7.373562,1.3293,9.28,0.14,0.19,8.29,0.08,0.08
129,151.34848,-24.360756,1.3451,8.76,0.12,0.23,8.35,0.05,0.06
55,172.24646,-4.4163,1.4301,9.43,0.18,0.02,8.17,0.06,0.06
108,357.7388,-43.377544,1.3265,9.47,0.27,0.17,8.24,0.05,0.06
16,350.625427,-34.832859,1.4687,10.06,0.29,0.17,8.44,0.02,0.02
107,255.382965,64.136452,1.3022,9.33,0.04,0.07,8.25,0.06,0.06
77,162.024002,15.251721,1.3619,9.84,0.02,0.16,8.33,0.03,0.03
108,162.024384,15.253463,1.3879,9.32,0.02,0.01,8.15,0.05,0.06
55,225.076874,41.478142,1.451,10.01,0.11,0.1,8.46,0.05,0.06
37,147.243515,13.833179,1.3168,9.98,0.27,0.16,8.25,0.04,0.03
82,202.441711,-23.754494,1.3464,9.95,0.39,0.46,8.44,0.14,0.09
103,202.441833,-23.754606,1.3458,9.36,0.24,0.21,8.43,0.04,0.06
142,202.441116,-23.745029,1.3255,9.45,0.01,0.15,8.38,0.06,0.1
100,183.358612,-13.657548,1.4849,10.16,0.03,0.16,8.5,0.06,0.05
123,192.048508,17.868845,1.3129,9.05,0.4,0.18,7.5,0,0.69
94,237.948853,20.095444,1.377,9.6,0.12,0.06,8.25,0.09,0.08
82,211.531662,25.121193,1.3616,9.49,0.12,0.04,8.56,0.08,0.07
153,229.818069,28.610167,1.3984,9.29,0.19,0.19,8.16,0.18,0.14
20,168.811325,52.944622,1.4293,9.8,0.27,0.29,8.45,0.04,0.03
59,228.536438,36.283798,1.4426,9.65,0.03,0.04,8.37,0.04,0.04
23,201.83432,44.519665,1.3595,10.38,0.03,0.01,8.36,0.03,0.04
176,32.362873,-4.718067,1.3798,8.74,0.05,0.01,8.11,0.09,0.07
