ID,z,OH,OH_err_plus,OH_err_minus,logMstar
goods-s-ultradeep_127079,5.262,6.72,0.13,0.13,7.06
goods-s-mediumjwst_10011541,7.433,6.8,0.08,0.08,7.85
goods-s-mediumjwst_56812,5.76,6.95,0.11,0.11,7.09
goods-s-deepjwst_30010919,7.61,6.95,0.12,0.11,7.24
goods-s-mediumhst_13561,4.138,6.99,0.14,0.14,8.1
goods-s-mediumjwst_32880,5.609,6.99,0.1,0.09,7.61
goods-n-mediumjwst_5088,6.992,7.01,0.07,0.06,7.75
goods-s-mediumjwst_20057765,8.913,7.03,0.12,0.11,7.73
goods-n-mediumjwst_10001897,5.298,7.04,0.08,0.08,8.42
goods-s-deephst_10001892,4.772,7.05,0.22,0.18,6.72
goods-s-mediumjwst_59998,5.888,7.05,0.12,0.11,7.52
goods-s-mediumjwst_193756,5.905,7.05,0.21,0.17,0.69
goods-s-ultradeep_20198852,8.267,7.07,0.1,0.09,7.5
goods-s-deepjwst_72574,4.891,7.07,0.11,0.1,7.19
goods-s-mediumjwst_20083087,9.06,7.08,0.18,0.15,8.5
goods-s-mediumjwst_43481,4.423,7.08,0.09,0.09,7.39
goods-s-mediumhst_13639,5.789,7.08,0.18,0.14,7.95
goods-s-mediumjwst_186158,4.368,7.09,0.19,0.15,7.23
darkhorse_174741,3.199,7.1,0.17,0.15,7.79
goods-s-mediumjwst_30149608,7.035,7.1,0.17,0.14,7.28
goods-s-ultradeep_100227,4.431,7.1,0.11,0.09,7.37
goods-s-ultradeep_113056,5.984,7.11,0.06,0.05,7.55
darkhorse_168163,3.332,7.12,0.07,0.06,7.26
goods-s-mediumjwst_30142058,7.27,7.13,0.16,0.13,7.84
goods-s-mediumjwst_20192042,8.836,7.15,0.15,0.13,8.22
oasis_212846,5.049,7.15,0.19,0.14,7.07
goods-s-mediumjwst_10011141,1.244,7.15,0.08,0.07,6.87
darkhorse_345635,5.47,7.16,0.16,0.13,7.47
goods-s-mediumjwst_267649,6.575,7.16,0.17,0.13,8.11
goods-s-mediumjwst_135134,7.432,7.17,0.19,0.14,8.16
goods-s-ultradeep_30080593,5.96,7.17,0.09,0.07,7.26
goods-s-ultradeep_201906,5.517,7.19,0.08,0.07,7.2
goods-n-mediumhst_45979,2.583,7.19,0.13,0.1,7.29
goods-s-mediumjwst_51871,5.779,7.19,0.14,0.11,7.53
goods-s-mediumjwst_90155,5.577,7.19,0.1,0.09,7.27
goods-s-mediumjwst_182875,3.425,7.19,0.15,0.12,7.48
goods-s-deepjwst_20050575,8.414,7.19,0.08,0.07,7.42
goods-s-deepjwst_72975,5.587,7.19,0.21,0.17,6.66
goods-s-ultradeep_199524,5.942,7.19,0.15,0.12,7.29
darkhorse_377126,6.055,7.2,0.21,0.17,7.05
goods-s-mediumjwst_73690,5.497,7.22,0.1,0.08,9.08
goods-s-mediumjwst_90864,7.146,7.23,0.1,0.09,7.73
goods-n-mediumjwst_59788,5.381,7.23,0.21,0.16,7.83
darkhorse_29724,4.053,7.24,0.13,0.11,7.14
goods-s-ultradeep_109389,5.786,7.26,0.08,0.06,7.58
goods-s-deephst_10056849,5.814,7.27,0.12,0.11,7.58
goods-n-mediumjwst_39353,4.846,7.28,0.1,0.09,9.53
goods-s-mediumjwst_171875,5.738,7.28,0.11,0.09,8.06
goods-s-deephst_10005217,4.887,7.28,0.04,0.04,8.4
goods-s-deephst_10005447,6.621,7.3,0.18,0.13,7.18
