logM_med,logSFR_med,SFR_err_minus,SFR_err_plus,logO3,logO3_err_minus,logO3_err_plus,logO2,logO2_err_minus,logO2_err_plus,logO32,logO32_err_minus,logO32_err_plus,logR23,logR23_err_minus,logR23_err_plus,logN2,logN2_err_minus,logN2_err_plus,logO3N2,logO3N2_err_minus,logO3N2_err_plus,O_H_O_based,O_H_O_based_err_minus,O_H_O_based_err_plus,O_H_O3N2,O_H_O3N2_err_minus,O_H_O3N2_err_plus,O_H_N2,O_H_N2_err_minus,O_H_N2_err_plus
9.03,-0.35,0.25,0.25,0.09,0.01,0.01,0.56,0.01,0.01,-0.47,0.01,0.01,0.73,0.01,0.01,-0.68,0.01,0.01,0.77,0.01,0.01,8.58,0.01,0.01,8.58,0.01,0.01,8.58,0.01,0.01
9.12,-0.26,0.25,0.25,0.05,0.01,0.01,0.56,0.01,0.01,-0.51,0.01,0.01,0.71,0.01,0.01,-0.65,0.01,0.01,0.70,0.01,0.01,8.59,0.01,0.01,8.60,0.01,0.01,8.60,0.01,0.01
9.23,-0.21,0.25,0.25,-0.02,0.01,0.01,0.54,0.05,0.04,-0.55,0.01,0.01,0.68,0.01,0.01,-0.62,0.01,0.01,0.60,0.01,0.01,8.62,0.01,0.01,8.62,0.01,0.01,8.61,0.01,0.01
9.33,-0.14,0.25,0.25,-0.09,0.01,0.01,0.52,0.01,0.01,-0.60,0.01,0.01,0.64,0.01,0.01,-0.58,0.01,0.01,0.50,0.01,0.01,8.64,0.01,0.01,8.64,0.01,0.01,8.63,0.01,0.01
9.43,-0.08,0.25,0.25,-0.15,0.01,0.01,0.50,0.01,0.01,-0.64,0.01,0.01,0.61,0.01,0.01,-0.55,0.01,0.01,0.41,0.01,0.01,8.65,0.01,0.01,8.66,0.01,0.01,8.65,0.01,0.01
9.53,-0.04,0.25,0.25,-0.21,0.01,0.01,0.47,0.01,0.01,-0.68,0.01,0.01,0.58,0.01,0.01,-0.52,0.01,0.01,0.32,0.01,0.01,8.67,0.01,0.01,8.68,0.01,0.01,8.67,0.01,0.01
9.63,0.04,0.25,0.25,-0.24,0.01,0.01,0.45,0.01,0.01,-0.69,0.01,0.01,0.56,0.01,0.01,-0.51,0.01,0.01,0.27,0.01,0.01,8.68,0.01,0.01,8.69,0.01,0.01,8.68,0.01,0.01
9.73,0.09,0.25,0.25,-0.30,0.01,0.01,0.43,0.01,0.01,-0.72,0.01,0.01,0.52,0.01,0.01,-0.49,0.01,0.01,0.19,0.01,0.01,8.70,0.01,0.01,8.71,0.01,0.01,8.69,0.01,0.01
9.83,0.15,0.25,0.25,-0.35,0.01,0.01,0.40,0.01,0.01,-0.75,0.01,0.01,0.49,0.01,0.01,-0.46,0.01,0.01,0.11,0.01,0.01,8.71,0.01,0.01,8.73,0.01,0.01,8.71,0.01,0.01
9.93,0.22,0.25,0.25,-0.39,0.01,0.01,0.37,0.01,0.01,-0.76,0.01,0.01,0.46,0.01,0.01,-0.45,0.01,0.01,0.05,0.01,0.01,8.73,0.01,0.01,8.74,0.01,0.01,8.72,0.01,0.01
10.03,0.37,0.25,0.25,-0.43,0.01,0.01,0.34,0.01,0.01,-0.77,0.01,0.01,0.43,0.01,0.01,-0.44,0.01,0.01,0.01,0.01,0.01,8.74,0.01,0.01,8.75,0.01,0.01,8.73,0.01,0.01
10.13,0.43,0.25,0.25,-0.45,0.01,0.01,0.32,0.01,0.01,-0.78,0.01,0.01,0.41,0.01,0.01,-0.43,0.01,0.01,-0.03,0.01,0.01,8.74,0.01,0.01,8.75,0.01,0.01,8.73,0.01,0.01
10.23,0.57,0.25,0.25,-0.47,0.01,0.01,0.32,0.01,0.01,-0.78,0.01,0.01,0.40,0.01,0.01,-0.42,0.01,0.01,-0.05,0.01,0.01,8.75,0.01,0.01,8.76,0.01,0.01,8.74,0.01,0.01
10.33,0.53,0.25,0.25,-0.47,0.01,0.01,0.30,0.01,0.01,-0.77,0.01,0.01,0.39,0.01,0.01,-0.41,0.01,0.01,-0.06,0.01,0.01,8.75,0.01,0.01,8.76,0.01,0.01,8.75,0.01,0.01
10.43,0.60,0.25,0.25,-0.47,0.01,0.01,0.29,0.01,0.01,-0.77,0.01,0.01,0.38,0.01,0.01,-0.40,0.01,0.01,-0.07,0.01,0.01,8.75,0.01,0.01,8.76,0.01,0.01,8.76,0.01,0.01
10.53,0.74,0.25,0.25,-0.48,0.01,0.01,0.29,0.01,0.01,-0.77,0.01,0.01,0.38,0.01,0.01,-0.40,0.01,0.01,-0.08,0.01,0.01,8.75,0.01,0.01,8.76,0.01,0.01,8.76,0.01,0.01
10.63,0.83,0.25,0.25,-0.47,0.01,0.01,0.29,0.01,0.01,-0.76,0.01,0.01,0.38,0.01,0.01,-0.39,0.01,0.01,-0.08,0.01,0.01,8.75,0.01,0.01,8.76,0.01,0.01,8.77,0.01,0.01
10.73,0.91,0.25,0.25,-0.45,0.01,0.01,0.29,0.01,0.01,-0.74,0.01,0.01,0.38,0.01,0.01,-0.38,0.01,0.01,-0.07,0.01,0.01,8.75,0.01,0.01,8.76,0.01,0.01,8.77,0.01,0.01
