Galaxy,z_spec,logM_star,logM_star_err_minus,logM_star_err_plus,O_H,O_H_err_minus,O_H_err_plus
RX2129-ID11002,8.160,8.49,0.32,0.24,7.65,0.09,0.09
RX2129-ID11027,9.510,7.74,0.29,0.23,7.48,0.09,0.09
SMACS0723-ID4590,8.498,8.00,0.51,0.36,6.99,0.11,0.11
SMACS0723-ID6355,7.665,8.22,0.18,0.20,8.24,0.07,0.07
SMACS0723-ID10612,7.663,8.40,0.24,0.15,7.73,0.12,0.12
SXDF-NB1006-2,7.212,9.31,0.47,0.41,7.36,0.23,0.41
B14-65666,7.152,9.90,0.33,0.25,7.94,0.22,0.21
MACS0416-Y1,8.312,9.96,0.23,0.28,8.03,0.40,0.21
A2744-YD4,8.382,10.03,0.38,0.40,7.44,0.26,0.24
MACS1149-JD1,9.110,9.31,0.14,0.19,7.95,0.21,0.21
