galaxyID,logM,OH,OH_err
DDO 154...,6.68,7.67,0.05
DDO 53...,6.98,7.62,0.2
GR 8a...,6.62,7.64,0.04
Ho I...,7.08,7.7,0.2
Ho II...,7.96,7.93,0.05
IC 1613...,6.82,7.62,0.05
IC 2574...,8.39,8.15,0.11
IC 5152...,8.11,7.92,0.07
Leo A...,5.89,7.35,0.06
M81 dwBa...,7.19,7.98,0.22
NGC 1569...,8.07,8.19,0.02
NGC 1705...,8.13,8.21,0.05
NGC 2366...,7.91,7.91,0.08
NGC 3109...,7.41,8.06,0.2
NGC 3738...,8.32,8.23,0.01
NGC 4214...,8.55,8.22,0.05
NGC 4449...,9.29,8.31,0.07
NGC 5408...,8.19,7.98,0.01
NGC 55...,8.44,8.05,0.1
NGC 6822...,8.1,8.11,0.1
Peg DIGa...,6.98,7.93,0.13
Sextans A...,6.24,7.54,0.06
Sextans B...,6.86,7.53,0.05
UGC 6456...,6.9,7.69,0.07
WLM...,6.88,7.83,0.06
