ID,z,logMstar,OH,OH_e,OH_E
131198,0.7263,10.94,8.78,0.02,0.02
135418,0.7402,11.04,8.76,0.03,0.03
138799,0.7177,10.04,8.65,0.04,0.03
138923,0.7569,10.19,8.71,0.03,0.03
208640,0.7019,10.73,8.68,0.03,0.03
210392,0.6784,10.82,8.74,0.03,0.03
210736,0.6625,10.75,8.8,0.06,0.05
130412,0.7497,10.68,8.82,0.03,0.02
134501,0.7965,10.45,8.71,0.03,0.02
134820,0.6965,10.64,8.76,0.02,0.03
209031,0.7777,10.73,8.81,0.03,0.02
123142,0.7482,10.97,8.72,0.04,0.03
73754,0.7476,9.86,8.49,0.05,0.04
86610,0.6713,10.55,8.76,0.03,0.02
108440,0.8317,10.69,8.71,0.04,0.03
110242,0.672,10.8,8.81,0.04,0.06
113408,0.6705,10.02,8.65,0.03,0.03
118390,0.6958,10.04,8.72,0.03,0.02
128659,0.7255,10.76,8.69,0.04,0.03
131312,0.7288,10.22,8.57,0.05,0.03
134954,0.7566,10.62,8.67,0.04,0.03
166730,0.7055,10.47,8.74,0.03,0.04
180320,0.7312,10.11,8.63,0.03,0.03
205196,0.6272,10.29,8.74,0.03,0.02
205906,0.6991,10.47,8.76,0.03,0.02
207822,0.6672,10.9,8.72,0.04,0.02
234911,0.7304,10.6,8.62,0.05,0.03
235128,0.7301,10.44,8.74,0.04,0.02
127745,0.731,10.76,8.67,0.05,0.04
129098,0.7893,10.59,8.71,0.03,0.03
130576,0.7331,10.09,8.71,0.03,0.02
167583,0.7049,10.57,8.88,0.03,0.02
174821,0.6682,10.77,8.87,0.04,0.04
240419,0.6679,10.38,8.73,0.03,0.03
122838,0.7342,10.21,8.68,0.03,0.03
124727,0.6055,9.89,8.75,0.03,0.02
105346,0.7735,10.47,8.83,0.05,0.05
110979,0.6754,10,8.64,0.04,0.03
117232,0.7164,10.24,8.67,0.03,0.03
142988,0.6883,10.18,8.68,0.03,0.03
212566,0.6129,10.39,8.66,0.04,0.02
215058,0.6039,10.2,8.71,0.03,0.03
216523,0.6746,10.24,8.69,0.03,0.02
225097,0.6121,10.49,8.6,0.05,0.04
226418,0.726,10.18,8.66,0.04,0.03
228279,0.6115,10.32,8.72,0.02,0.03
230481,0.6946,10.99,8.73,0.03,0.02
