id,ra,dec,z,logMstar,logMstar_errp,logMstar_errm,OH,OH_err
34,3.591921,-30.41574,2.07,7.72,0.19,0.14,8.03,0.02
245,3.599965,-30.40957,1.81,7.78,0.19,0.17,7.6,0.52
282,3.577672,-30.408856,2.26,7.05,0.09,0.09,8.13,0.03
614,3.618857,-30.403802,2.2,7.11,0.08,0.08,8.03,0.08
882,3.602338,-30.400736,1.81,8.58,0.16,0.15,8.52,0.05
1018,3.606238,-30.397984,2.28,6.89,0.24,0.17,7.55,0.36
1085,3.604176,-30.39717,2.07,9.37,0.15,0.2,8.44,0.02
1333,3.606056,-30.393533,2.18,8.42,0.18,0.25,8.07,0.03
1407,3.611638,-30.392479,2.28,7.45,0.3,0.3,7.93,0.06
1409,3.599706,-30.392378,1.87,7.85,0.15,0.14,8.2,0.14
1445,3.607556,-30.391864,2.06,6.34,0.06,0.04,7.45,0.61
1461,3.604243,-30.391652,1.88,8.06,0.14,0.14,8.25,0.05
1500,3.607616,-30.391073,2.06,7.26,0.12,0.12,8.12,0.09
1503,3.603143,-30.391055,2.18,7.57,0.15,0.13,7.94,0.03
1504,3.613264,-30.391095,1.88,8.66,0.19,0.23,8.26,0.02
1573,3.609447,-30.389859,2.21,8.96,0.12,0.15,8.23,0.03
1596,3.610005,-30.389482,2.18,8.63,0.24,0.31,8.23,0.02
1685,3.603072,-30.387831,1.88,6.23,0.1,0.07,7.78,0.43
1823,3.579059,-30.385947,2.2,7.53,0.19,0.16,8.06,0.03
2032,3.592031,-30.382505,1.87,6.87,0.11,0.12,8.21,0.04
2084,3.591101,-30.381687,1.89,8.38,0.22,0.13,8.13,0.02
2152,3.585912,-30.38066,1.87,7.32,0.32,0.15,8.08,0.02
2186,3.61036,-30.380189,1.88,8.92,0.15,0.15,8.51,0.03
2303,3.607664,-30.37828,1.85,6.38,0.21,0.15,8.09,0.18
2313,3.598602,-30.378502,1.91,8.88,0.2,0.25,8.27,0.05
2330,3.599784,-30.377873,1.89,7.96,0.22,0.29,7.96,0.11
2421,3.599383,-30.375941,1.91,7.3,0.13,0.12,7.92,0.3
50,110.821398,-73.474602,2.98,8.78,0.07,0.09,8.35,0.08
1347,110.823498,-73.44444,3.37,8.22,0.06,0.07,8.12,0.09
1361,110.859711,-73.444213,2.73,9.01,0.08,0.07,7.87,0.15
1424,110.828726,-73.442593,3.1,9.59,0.04,0.04,8.3,0.02
1475,110.863244,-73.441489,2.73,8.33,0.09,0.12,8.1,0.16
1491,110.859274,-73.44123,2.73,9.83,0.02,0.05,8.43,0.05
1520,110.850517,-73.440461,3.04,7.71,0.1,0.12,8.44,0.04
404,3.61346,-30.40686,2.85,6.84,0.09,0.05,8.01,0.05
434,3.607437,-30.406471,3.2,9.25,0.24,0.42,8.23,0.02
538,3.612998,-30.405067,3.04,9.35,0.24,0.43,8.23,0.01
903,3.609749,-30.400342,2.97,9.68,0.13,0.19,8.57,0.02
988,3.613656,-30.398646,2.85,9.29,0.28,0.27,8.53,0.04
1016,3.6078,-30.398054,3.2,7.28,0.07,0.06,8.05,0.03
1042,3.61034,-30.397893,3.36,7.79,0.03,0.03,7.98,0.01
1206,3.607114,-30.395622,2.98,8.27,0.31,0.29,7.85,0.03
1275,3.572769,-30.394578,2.94,8.16,0.33,0.37,8.15,0.03
1394,3.611255,-30.39244,2.98,7.13,0.16,0.07,7.53,0.37
1535,3.604198,-30.390338,2.71,8.4,0.1,0.16,8.15,0.1
1692,3.604118,-30.387855,2.84,7.52,0.25,0.07,7.9,0.02
2029,3.596739,-30.38257,3.21,7.43,0.08,0.06,7.77,0.06
2060,3.585941,-30.382101,3.06,8.52,0.32,0.49,8.05,0.01
2225,3.591399,-30.379771,2.73,8.55,0.19,0.15,8.1,0.01
2237,3.604111,-30.379262,2.83,7.67,0.38,0.39,8.08,0.07
2287,3.607475,-30.378498,2.69,8.34,0.11,0.2,8.17,0.05
