Name,z,Mstar,Mstar_err_plus,Mstar_err_minus,OH_strong,OH_strong_err
rebels05,6.496,9.42,0.10,0.10,8.51,0.16
rebels08,6.749,9.33,0.07,0.06,8.22,0.22
rebels12,7.349,9.54,0.03,0.04,8.23,0.13
rebels14,7.084,9.24,0.07,0.06,7.90,0.12
rebels15,6.875,9.31,0.02,0.01,7.78,0.30
rebels18,7.675,9.71,0.06,0.04,8.50,0.13
rebels25,7.306,9.30,0.12,0.14,8.36,0.15
rebels29,6.685,9.69,0.07,0.05,8.73,0.15
rebels32,6.729,9.57,0.10,0.08,8.48,0.13
rebels34,6.633,9.45,0.03,0.02,8.33,0.29
rebels38,6.577,9.75,0.09,0.06,8.28,0.18
rebels39,6.847,9.35,0.09,0.08,8.02,0.29
