ID,z_spec,ebvgas,ebvgas_err_plus,ebvgas_err_minus,logMstar,logMstar_err_plus,logMstar_err_minus,logSFR_SED,logSFR_SED_err_plus,logSFR_SED_err_minus,logSFR_Ha,logSFR_Ha_err_plus,logSFR_Ha_err_minus,densp,densp_err_plus,densp_err_minus,temotp,temotp_err_plus,temotp_err_minus,temop,temop_err_plus,temop_err_minus,O_H,O_H_err_plus,O_H_err_minus
GOODSN-100067,5.1875,0.223,0.018,0.017,8.85,0.07,0.02,1.97,0.13,0.22,1.31,0>
GOODSN-11584,3.3616,0.015,0.014,0.014,10.78,0.01,0.05,2.01,0.01,0.01,2.31,0.01,0.01,170,140,120,10790,910,910,9430,1010,1060,8.52,0.17,0.09
GOODSN-17940,4.4115,0.388,0.006,0.007,9.01,0.03,0.03,1.58,0.05,0.01,2.19,0.01,0.01,840,120,110,11210,270,250,11230,510,540,8.30,0.03,0.03
GOODSN-19067,2.2813,0.193,0.011,0.011,9.58,0.06,0.10,0.92,0.11,0.13,0.66,0.01,0.01,<210,, ,13560,1220,1080,10530,730,800,8.16,0.11,0.08
GOODSN-19149,1.3833,0.000,0.000,0.000,7.95,0.08,0.04,0.59,0.11,0.16,0.04,0.01,0.01,320,180,170,16370,880,800,---,, ,7.69,0.05,0.06
GOODSN-19848,2.9918,0.240,0.008,0.008,9.19,0.05,0.04,1.53,0.12,0.01,1.37,0.01,0.01,1050,270,250,11620,370,370,9180,740,650,8.35,0.09,0.08
GOODSN-21033,3.1120,0.093,0.007,0.007,8.96,0.05,0.08,0.79,0.11,0.06,0.98,0.01,0.01,50,90,50,12740,240,210,18790,1810,2140,8.07,0.02,0.02
GOODSN-21522,2.3634,0.035,0.008,0.008,9.49,0.11,0.06,1.69,0.03,0.13,0.86,0.01,0.01,140,80,60,12760,630,680,10690,850,880,8.10,0.10,0.07
GOODSN-22235,2.4298,0.224,0.006,0.006,9.16,0.12,0.05,1.55,0.03,0.14,1.30,0.01,0.01,370,60,60,11320,240,260,9420,390,360,8.37,0.04,0.04
GOODSN-22384,2.9935,0.246,0.010,0.010,9.67,0.13,0.05,1.42,0.02,0.17,1.29,0.01,0.01,190,60,50,<11920,, ,10790,1050,960,8.18,0.18,0.16
GOODSN-22932,3.3305,0.047,0.010,0.009,8.99,0.10,0.09,1.05,0.13,0.14,0.89,0.01,0.01,310,200,170,13190,540,550,<8850,, ,8.09,0.05,0.05
GOODSN-25004,2.0487,0.219,0.004,0.004,8.82,0.01,0.01,1.75,0.01,0.13,1.39,0.01,0.01,350,80,50,10060,440,420,9980,400,460,8.42,0.09,0.07
GOODSN-26798,2.4831,0.387,0.009,0.010,10.49,0.01,0.04,1.63,0.22,0.01,1.46,0.01,0.01,450,60,50,<13990,, ,8650,380,340,8.62,0.10,0.10
GOODSN-27876,2.2709,0.531,0.010,0.009,10.19,0.02,0.40,1.19,0.66,0.02,1.44,0.01,0.01,550,90,90,<21840,, ,8110,520,520,8.65,0.17,0.15
GOODSN-28209,3.2325,0.297,0.011,0.010,9.22,0.06,0.12,1.72,0.18,0.02,1.72,0.01,0.01,1050,380,290,9350,520,540,9290,950,910,8.52,0.13,0.08
GOODSN-30053,2.2454,0.468,0.006,0.005,9.90,0.05,0.26,2.03,0.55,0.04,1.58,0.01,0.01,300,60,50,11080,600,680,9640,410,420,8.31,0.07,0.05
