ID,z_spec,logMstar_val,logMstar_err_plus,logMstar_err_minus,logSFR_SED_val,logSFR_SED_err_plus,logSFR_SED_err_minus,logSFR_Halpha_val,logSFR_Halpha_err_plus,logSFR_Halpha_err_minus,EBV_val,EBV_err_plus,EBV_err_minus,OH_strong_val,OH_strong_err_plus,OH_strong_err_minus
40081,3.955,9.33,0.04,0.03,1.16,0.05,0.06,1.39,0.04,0.04,0.04,0.03,0.03,8.09,0.13,0.13
41292,3.699,8.86,0.05,0.05,0.63,0.07,0.1,0.9,0.06,0.06,0.11,0.05,0.05,8,0.17,0.15
45052,4.234,9.7,0.04,0.04,1.53,0.05,0.07,1.27,0.07,0.07,0.38,0.06,0.06,8.2,0.12,0.14
45177,2.901,8.78,0.04,0.05,0.63,0.04,0.06,0.64,0.05,0.05,0.12,0.03,0.03,8.08,0.12,0.13
45393,4.236,9.2,0.09,0.03,1.08,0.06,0.04,1.03,0.17,0.17,0.17,0.11,0.11,8.16,0.24,0.29
46195,3.231,8.94,0.07,0.07,0.55,0.13,0.16,-0.01,0.07,0.07,0.07,0.06,0.06,8.23,0.18,0.2
47143,3.233,8.76,0.08,0.12,0.37,0.14,0.13,0.46,0.05,0.05,0.14,0.03,0.03,8.19,0.12,0.14
47557,3.234,9.02,0.03,0.03,0.88,0.03,0.05,1,0.05,0.05,0.2,0.03,0.03,8.04,0.14,0.13
47719,2.606,9.66,0.04,0.06,0.77,0.06,0.05,1,0.08,0.08,0.35,0.06,0.06,8.46,0.1,0.13
47875,3.797,9.38,0.04,0.05,1.24,0.05,0.08,0.96,0.07,0.07,0.17,0.06,0.06,8.25,0.17,0.23
51029,3.082,9.97,0.06,0.1,1.26,0.13,0.09,0.49,0.11,0.11,0,0.12,0.12,8.32,0.19,0.2
52422,4.025,8.5,0.04,0.03,0.38,0.02,0.02,0.75,0.04,0.04,0.02,0.03,0.03,7.72,0.14,0.14
56875,4,9.03,0.03,0.03,0.9,0.04,0.04,0.64,0.04,0.04,0,0,0,8.17,0.12,0.13
57498,3.696,8.97,0.03,0.04,0.84,0.04,0.05,1.07,0.04,0.04,0.14,0.01,0.01,8.07,0.12,0.13
58103,3.985,9.84,0.04,0.04,1.66,0.06,0.09,1.53,0.09,0.09,0.41,0.08,0.08,8.34,0.16,0.2
58772,6.109,8.68,0.09,0.08,0.38,0.09,0.08,0.08,0.05,0.05,0,0.04,0.04,8.03,0.21,0.22
59009,4.133,8.73,0.05,0.06,0.58,0.05,0.05,0.85,0.05,0.05,0,0.04,0.04,7.97,0.14,0.14
59407,3.982,8.86,0.06,0.05,0.57,0.09,0.12,0.52,0.05,0.05,0.05,0.04,0.04,8.07,0.14,0.14
59720,4.367,9.31,0.05,0.04,1.13,0.05,0.06,0.81,0.04,0.04,0.02,0.03,0.03,8.12,0.13,0.13
60713,6.171,8.53,0.06,0.04,0.36,0.04,0.04,0.87,0.07,0.07,0.26,0.06,0.06,7.98,0.17,0.17
61762,3.228,9.29,0.15,0.04,1.11,0.09,0.07,0.3,0.04,0.04,0,0.01,0.01,8.15,0.12,0.11
61878,3.227,9.37,0.12,0.14,1.03,0.1,0.12,0.32,0.06,0.06,0.05,0.06,0.06,8.16,0.13,0.16
63629,3.227,8.99,0.05,0.04,0.5,0.07,0.06,0.6,0.07,0.07,0.12,0.05,0.05,8.17,0.16,0.17
63962,4.359,8.94,0.03,0.03,0.82,0.03,0.04,0.81,0.04,0.04,0,0.01,0.01,7.9,0.15,0.15
66899,5.964,8.25,0.05,0.05,0.11,0.05,0.05,0.75,0.06,0.06,0.2,0.05,0.05,7.64,0.18,0.17
66919,3.447,8.98,0.14,0.06,0.71,0.09,0.13,0.71,0.1,0.1,0.42,0.08,0.08,8.35,0.14,0.16
69991,4.937,8.61,0.08,0.08,0.23,0.14,0.12,0.47,0.07,0.07,0.16,0.06,0.06,8.06,0.14,0.15
70864,5.255,8.72,0.04,0.03,0.59,0.03,0.03,0.68,0.04,0.04,0,0,0,7.88,0.13,0.12
70934,3.009,9.74,0.03,0.03,1.57,0.05,0.06,1.17,0.05,0.05,0.18,0.03,0.03,8.37,0.1,0.11
71657,6.817,8.66,0.09,0.1,0.4,0.1,0.09,-0.01,0.11,0.11,0,0.19,0.19,8.12,0.21,0.24
73535,2.21,9.04,0.09,0.11,0.76,0.12,0.09,0.64,0.12,0.12,0.09,0.07,0.07,8.12,0.16,0.18
75319,3.195,8.43,0.12,0.13,-0.04,0.12,0.11,-0.26,0.06,0.06,0.02,0.05,0.05,8.02,0.27,0.25
75487,3.241,8.58,0.12,0.11,0.22,0.11,0.11,-0.18,0.04,0.04,0,0.01,0.01,7.92,0.25,0.23
78078,3.239,9.12,0.02,0.02,0.99,0.03,0.03,0.77,0.06,0.06,0.18,0.05,0.05,8.27,0.12,0.12
79373,3.995,9.39,0.05,0.03,1.24,0.05,0.05,0.9,0.05,0.05,0.06,0.04,0.04,8.3,0.12,0.15
