ID,z,logMstar,re_kpc,SFR_Msunyr,NIIHa,NIIHa_err
1,0.758,10.66,6.4,5.5,0.41,0.03
2,0.775,10.94,4.1,0.9,0.11,nan
3,0.777,10.35,2.9,24.7,0.44,0.03
4,0.787,10.78,2.3,4.6,0.56,0.03
5,0.787,10.51,5,21,0.41,0.03
6,0.798,10.68,2.3,36.8,0.44,0.01
7,0.799,10.63,4.3,21,0.42,0.02
8,0.803,10.58,4.7,5.5,0.37,0.02
9,0.803,10.57,1.7,3.8,0.48,0.03
10,0.803,10.48,2.4,2.2,0.41,0.02
11,0.809,10.22,5.3,2.6,0.22,0.02
12,0.813,10.64,2.5,0.8,0.2,nan
13,0.822,11.01,4,99.8,0.93,0.02
14,0.822,9.81,2.2,17.9,0.24,nan
15,0.824,10.72,2.8,1.3,0.71,0.11
16,0.827,10.58,7,23.8,0.3,0.02
17,0.828,10.69,4.1,78.6,0.5,0.03
18,0.831,10.38,5.1,36.3,0.28,0.03
19,0.832,10.07,6.9,30.8,0.2,0.01
20,0.834,10.55,2,6.1,0.44,0.04
21,0.837,10.52,2.3,2.1,0.34,0.02
22,0.839,10.83,3.3,3.9,0.89,0.1
23,0.852,10.83,6.8,15.4,0.34,0.02
24,0.854,10.73,8.3,23.5,0.31,0.02
25,0.868,10.31,3.8,36.8,0.32,0.01
26,0.878,11.17,5.4,3.2,0.55,0.08
27,0.879,9.82,5.5,4.4,0.13,0.01
28,0.879,10.7,2.7,10.6,0.65,0.02
29,0.883,10.26,3.3,17.7,0.27,0.02
30,0.883,10.8,3.6,1.2,0.4,nan
31,0.89,10.72,6,10.5,0.6,0.03
32,0.89,10.95,5.4,2.7,0.48,0.05
33,0.89,9.84,4.8,3.2,0.37,0.05
34,0.892,10.16,2.9,16.9,0.34,0.02
35,0.892,10.03,10.1,26.9,0.15,0.02
36,0.892,9.82,5,13.3,0.21,0.01
37,0.893,10.71,8.4,8.6,0.29,0.03
38,0.893,10.55,2,10.2,0.42,0.01
39,0.893,9.88,1.9,6.5,0.2,0.01
40,0.893,10.17,7.7,6.4,0.29,0.03
41,0.894,9.82,1.2,21.8,0.37,0.02
42,0.895,10.17,3.9,1.4,0.19,nan
43,0.896,10.18,3.2,22.1,0.32,0.01
44,0.896,10.29,3.8,7.7,0.11,0.01
45,0.897,10.52,4.5,9.3,0.34,0.01
46,0.897,10.75,5.6,18.3,0.43,0.01
47,0.899,9.63,2.2,1.3,0.5,nan
48,0.899,10.2,0.9,0.2,0.33,nan
49,0.9,10.3,2.9,60.7,0.5,0.01
50,0.9,10.31,3.8,19,0.35,0.01
51,0.901,10.1,3.1,2.8,0.45,0.04
52,0.902,10.46,4.7,10.7,0.24,0.01
